Day,Train(NSW),Hotel,events,total
25-01-2020,49,81,100,230
26-01-2020,54,78,82,214
27-01-2020,48,65,47,160
28-01-2020,46,76,43,165
29-01-2020,57,66,43,166
30-01-2020,37,72,43,152
31-01-2020,50,87,34,171
01-02-2020,48,88,61,197
02-02-2020,49,74,52,175
03-02-2020,44,69,48,161
04-02-2020,57,77,46,180
05-02-2020,46,73,51,170
06-02-2020,53,87,52,192
07-02-2020,61,75,56,192
08-02-2020,53,90,69,212
09-02-2020,100,66,51,217
10-02-2020,69,60,51,180
11-02-2020,53,67,49,169
12-02-2020,50,72,45,167
13-02-2020,52,82,53,187
14-02-2020,49,88,68,205
15-02-2020,47,100,70,217
16-02-2020,59,72,50,181
17-02-2020,56,77,57,190
18-02-2020,50,82,55,187
19-02-2020,50,79,53,182
20-02-2020,89,93,44,226
21-02-2020,78,80,41,199
22-02-2020,65,98,68,231
23-02-2020,57,97,58,212
24-02-2020,59,80,47,186
25-02-2020,56,79,46,181
26-02-2020,49,83,49,181
27-02-2020,52,77,46,175
28-02-2020,55,80,62,197
29-02-2020,55,85,50,190
01-03-2020,53,67,42,162
02-03-2020,67,75,53,195
03-03-2020,47,64,45,156
04-03-2020,38,73,38,149
05-03-2020,39,60,47,146
06-03-2020,51,79,58,188
07-03-2020,48,88,70,206
08-03-2020,47,78,52,177
09-03-2020,52,73,49,174
10-03-2020,45,58,48,151
11-03-2020,40,53,41,134
12-03-2020,43,60,41,144
13-03-2020,40,67,73,180
14-03-2020,33,64,47,144
15-03-2020,31,54,48,133
16-03-2020,27,53,38,118
17-03-2020,26,45,36,107
18-03-2020,25,49,38,112
19-03-2020,28,37,37,102
20-03-2020,28,51,22,101
21-03-2020,29,53,28,110
22-03-2020,26,44,23,93
23-03-2020,19,41,23,83
24-03-2020,16,34,21,71
25-03-2020,19,25,18,62
26-03-2020,21,27,18,66
27-03-2020,16,36,19,71
28-03-2020,15,34,17,66
29-03-2020,15,27,15,57
30-03-2020,16,23,26,65
31-03-2020,15,29,22,66
01-04-2020,15,27,25,67
02-04-2020,15,21,26,62
03-04-2020,15,32,12,59
04-04-2020,17,27,21,65
05-04-2020,14,33,18,65
06-04-2020,17,27,13,57
07-04-2020,15,28,22,65
08-04-2020,13,27,19,59
09-04-2020,14,31,8,53
10-04-2020,17,40,16,73
11-04-2020,17,30,11,58
12-04-2020,16,30,18,64
13-04-2020,16,22,20,58
14-04-2020,19,27,19,65
15-04-2020,16,27,17,60
16-04-2020,11,22,10,43
17-04-2020,20,31,12,63
18-04-2020,18,41,14,73
19-04-2020,19,30,15,64
20-04-2020,17,28,15,60
21-04-2020,18,23,16,57
22-04-2020,19,24,18,61
23-04-2020,18,26,19,63
24-04-2020,14,35,18,67
25-04-2020,17,27,8,52
26-04-2020,19,27,14,60
27-04-2020,19,24,12,55
28-04-2020,21,19,17,57
29-04-2020,16,22,19,57
30-04-2020,19,27,26,72
01-05-2020,21,31,14,66
02-05-2020,24,33,13,70
03-05-2020,19,26,14,59
04-05-2020,21,20,22,63
05-05-2020,18,26,20,64
06-05-2020,22,26,22,70
07-05-2020,21,32,26,79
08-05-2020,23,42,30,95
09-05-2020,23,33,14,70
10-05-2020,22,30,18,70
11-05-2020,16,22,20,58
12-05-2020,19,23,29,71
13-05-2020,25,37,17,79
14-05-2020,23,43,29,95
15-05-2020,21,62,19,102
16-05-2020,22,50,20,92
17-05-2020,24,40,16,80
18-05-2020,19,27,29,75
19-05-2020,22,35,21,78
20-05-2020,21,47,23,91
21-05-2020,25,38,23,86
22-05-2020,20,51,18,89
23-05-2020,26,50,12,88
24-05-2020,26,45,12,83
25-05-2020,28,35,24,87
26-05-2020,28,38,20,86
27-05-2020,23,46,29,98
28-05-2020,26,45,17,88
29-05-2020,28,43,17,88
30-05-2020,28,47,12,87
31-05-2020,29,51,17,97
01-06-2020,26,55,30,111
02-06-2020,26,64,23,113
03-06-2020,25,53,27,105
04-06-2020,26,59,29,114
05-06-2020,27,70,19,116
06-06-2020,29,76,14,119
07-06-2020,28,81,20,129
08-06-2020,26,57,21,104
09-06-2020,19,51,23,93
10-06-2020,22,55,31,108
11-06-2020,19,52,20,91
12-06-2020,21,72,16,109
13-06-2020,33,80,17,130
14-06-2020,26,67,20,113
15-06-2020,27,51,28,106
16-06-2020,27,48,25,100
17-06-2020,29,54,26,109
18-06-2020,34,57,23,114
19-06-2020,28,67,23,118
20-06-2020,35,75,13,123
21-06-2020,31,64,25,120
22-06-2020,26,55,32,113
23-06-2020,29,46,23,98
24-06-2020,29,60,24,113
25-06-2020,22,61,22,105
26-06-2020,35,71,24,130
27-06-2020,37,67,27,131
28-06-2020,31,58,18,107
29-06-2020,29,54,31,114
30-06-2020,28,47,24,99
01-07-2020,24,48,24,96
02-07-2020,25,55,23,103
03-07-2020,28,66,19,113
04-07-2020,38,70,23,131
05-07-2020,36,63,17,116
06-07-2020,30,61,27,118
07-07-2020,36,55,17,108
08-07-2020,32,62,28,122
09-07-2020,24,73,21,118
10-07-2020,27,73,21,121
11-07-2020,35,85,21,141
12-07-2020,32,91,23,146
13-07-2020,28,84,23,135
14-07-2020,28,56,24,108
15-07-2020,31,64,18,113
16-07-2020,28,61,29,118
17-07-2020,23,59,17,99
18-07-2020,27,64,21,112
19-07-2020,26,40,19,85
20-07-2020,21,43,21,85
21-07-2020,21,44,24,89
22-07-2020,22,39,24,85
23-07-2020,23,46,26,95
24-07-2020,24,53,27,104
25-07-2020,25,48,20,93
26-07-2020,20,45,20,85
27-07-2020,22,40,25,87
28-07-2020,24,42,25,91
29-07-2020,21,41,24,86
30-07-2020,27,54,29,110
31-07-2020,29,55,22,106
01-08-2020,21,58,15,94
02-08-2020,23,59,25,107
03-08-2020,20,43,28,91
04-08-2020,24,34,24,82
05-08-2020,22,47,25,94
06-08-2020,21,53,25,99
07-08-2020,21,45,23,89
08-08-2020,26,57,13,96
09-08-2020,21,40,26,87
10-08-2020,26,35,26,87
11-08-2020,29,40,19,88
12-08-2020,25,47,17,89
13-08-2020,25,50,23,98
14-08-2020,24,50,21,95
15-08-2020,32,47,18,97
16-08-2020,29,43,22,94
17-08-2020,18,32,25,75
18-08-2020,18,37,28,83
19-08-2020,25,40,38,103
20-08-2020,22,52,23,97
21-08-2020,21,43,18,82
22-08-2020,24,59,25,108
23-08-2020,28,45,29,102
24-08-2020,25,41,19,85
25-08-2020,27,45,25,97
26-08-2020,20,49,26,95
27-08-2020,22,55,20,97
28-08-2020,27,55,18,100
29-08-2020,32,68,20,120
30-08-2020,33,48,19,100
31-08-2020,29,40,28,97
01-09-2020,26,44,21,91
02-09-2020,23,39,31,93
03-09-2020,21,46,26,93
04-09-2020,27,44,20,91
05-09-2020,23,51,27,101
06-09-2020,24,39,19,82
07-09-2020,17,41,22,80
08-09-2020,21,40,26,87
09-09-2020,22,49,23,94
10-09-2020,25,49,23,97
11-09-2020,21,61,25,107
12-09-2020,29,61,29,119
13-09-2020,29,49,26,104
14-09-2020,21,42,24,87
15-09-2020,19,43,27,89
16-09-2020,20,41,21,82
17-09-2020,27,58,23,108
18-09-2020,30,57,21,108
19-09-2020,31,54,22,107
20-09-2020,32,51,17,100
21-09-2020,24,42,22,88
22-09-2020,24,57,26,107
23-09-2020,27,50,23,100
24-09-2020,29,54,31,114
25-09-2020,19,58,21,98
26-09-2020,31,69,23,123
27-09-2020,28,56,30,114
28-09-2020,30,60,19,109
29-09-2020,30,63,21,114
30-09-2020,25,57,26,108
